BuildingId,PIN,PID
83,,3690156
186,,31117252
210,,2453797
338,,10314954
355,,10598782
356,,18959938
357,,11736976
358,,24819778
359,,18959946
360,24098731,14337118
369,,10504516
375,,9855882
573,,8777047
574,,12131512
577,,19167733
578,,14155231
579,,14961407
660,,13814745
661,,13814745
662,,17589509
663,,13814745
844,,29768527
1257,,15940357
1383,,18241581
1384,,18241581
1386,,18241581
1557,,12395421
1558,,18274404
1743,,30353238
1744,,30353238
1886,90063090,26203316
1961,,27138607
2016,,27594564
2215,,30213231
2554,,17854024
4559,,10806016
4637,,17895863
4651,,13045971
4654,,13040774
4757,,14155231
5486,,19089554
5687,90060110,26018373
5689,90060110,26018373
5690,,11648171
5723,,12724343
5867,,12234133
5872,,13584375
6166,,8936633
6169,,30875561
6213,,10515658
6214,,10515658
6217,,11151943
6220,,11211857
6250,,10831495
6253,,3301524
6299,,3335321
6362,,24098477
6363,,24098477
6364,,24098477
6391,,6222854
6700,,7697295
6701,,7697295
6704,,15551954
6811,,827941
7051,,11270764
7052,,11270764
7053,7061320,15947751
7054,7061320,15947751
7055,,11270764
7056,,11270764
7057,,11270764
7058,,11270764
7059,,11270764
7060,,11270764
7061,,11270764
7062,,11270764
7063,,11270764
7064,,11270764
8224,,18959938
8225,,11736976
8276,,13664123
8284,,14155231
8296,,11288833
8298,,28449223
8387,,13179918
8520,,29221820
8544,,3902722
8554,,8480320
8561,,8133409
8564,,29324815
8569,,24879151
8577,,7549270
8582,,5948771
8586,,16875079
8657,,11736429
8691,,9022040
8730,,28530985
8843,,17572151
8861,,6737404
8865,,25409701
8871,,18297820
8874,,9281177
8883,,3301524
8886,,23829699
8889,,6139370
8899,,7169621
8947,,17125243
8949,,15483002
8951,,2575272
8956,,16095537
8959,,18287603
8964,,7420498
8965,,7420498
8966,,7420498
8967,,7420498
8977,,11820934
8979,,15496848
8982,,6635725
8985,,6349706
8986,,6349706
8988,,6349706
8989,,6349706
8990,,18070922
8994,,11928808
8995,,4947126
8998,,13075845
9001,,9039279
9002,,13180223
9003,,13180223
9008,,7218869
9015,,6617221
9018,,3070697
9028,,17150728
9032,,4914911
9038,,6525041
9041,,15143791
9047,,6719554
9048,,8864039
9052,,5580331
9061,,6716539
9064,,24777307
9068,,3630552
9069,,5209412
9070,,5209412
9074,,17854024
9075,,17854024
9076,,17854024
9082,,7089635
9089,,3408469
9090,,17588901
9091,,17588901
9092,,17588901
9097,,14660199
9206,,15365077
9207,,15365077
9220,,6952658
9226,,12967815
9231,,10019391
9236,,12141852
9242,,18368964
9248,,7592701
9254,,7718543
9259,,15971104
9260,,15971104
9264,,7681909
9272,,9663975
9278,,7681739
9294,,7036809
9295,,15755517
9296,,8964939
9310,,7894201
9319,,9415432
9325,,9046615
9331,,7755929
9336,,10748415
9342,,15639371
9343,,15639371
9349,,13179772
9350,,13179772
9353,,9101306
9354,,9587217
9355,,9587217
9364,,7719132
9371,,8545987
9373,,9362053
9374,,9362053
9377,,8986100
9379,,10646094
9380,,8546681
9388,,8887985
9390,,8521174
9391,,8521174
9452,,26964163
9460,,10041397
9463,,10072063
9474,,10487298
9515,,5308127
9577,,2833531
9665,,9514473
9666,,9514473
9667,,9133879
9668,,9133879
9674,,9704698
9743,,1389157
9778,25692011,14672022
9786,,7778376
9789,,10284591
9790,25692301,14492059
9799,,12354562
9884,,24128147
9886,,1471147
9894,,23642319
9946,,10409394
9947,,7764502
9979,,9335382
9989,,9290443
9992,,1796011
10002,,9052119
10013,,3103269
10039,,31367119
10046,,3421066
10050,,31470700
10051,,31470700
10052,,31470700
10058,,26921693
10059,,26921693
10061,,7107447
10062,,7107447
10064,,4030915
10102,,5058031
10230,,76805
10246,,9229973
10258,,5192439
10261,,3050068
10264,,3604195
10275,,24100099
10278,,8998957
10279,,8998957
10280,,8998957
10292,,5501946
10307,,26872919
10315,,6167489
10386,,6220215
10387,,6220215
10400,,10256032
10402,,15768082
10439,,4197887
10490,,10521747
10550,,7655657
10570,,9679090
10571,,11596023
10580,,11539895
10611,,9179577
10624,,11966611
10652,,13521888
10697,,13073702
10699,,13073702
10709,,
10716,,15768082
10747,30274401,
10749,30274401,
10872,,6051171
11026,,3578071
11213,,9474731
11565,,15659356
11566,,7719132
11567,,7719132
11726,,8819793
12142,,10886338
12424,,13094921
12470,,13506480
12532,,13155644
12550,,30889987
12662,,15988660
12713,,8392731
13068,,25571231
13227,,28936001
13312,,30588464
13344,,2453797
14344,,31188508
14378,,28324757
14379,,28324757
14380,,26272091
14381,,28324757
14383,,18583890
14384,4647020,
15713,,9340203
15714,,29282802
15715,,29282802
15716,,29282802
15717,,29282802
15718,,9340203
15719,,29282802
15720,,9340203
15721,,29282802
15722,,29282802
15748,,25100611
15808,,24387266
15809,,24387266
15810,632960,
15811,,17705185
15827,,30424577
15828,,30424577
15829,,30424577
15830,,30424577
15831,,30424577
15832,,30424577
15833,,30424577
15834,,30424577
15838,,14939827
15839,,1777467
15853,,31803156
15857,,31630979
15863,,30588499
15865,,31414010
15872,,29539145
15873,,6606016
15874,,6606016
15875,,24039411
15877,,25141015
15879,,26515504
15880,,15047211
15881,,30304415
15882,,28587189
15884,,27953378
15885,,30387884
15886,,109860
15887,,14442434
15888,,15940357
15889,,12713651
15890,,16224663
15891,3356961,3326365
15892,,27636101
15893,,24107425
15894,,5048451
15895,,4261771
15896,,29035813
15897,,3712231
15898,,26025035
15899,,10541462
15900,,28297261
15901,,3972160
15902,,9435867
15903,,6622135
15904,,14231484
15905,,28741731
15906,,11768916
15907,,4939778
15908,,8757232
15909,,6798128
15910,,6798128
15911,,6798128
15912,,6798128
15921,,31129102
15930,,23281081
15931,,8911932
15932,,15956202
15933,,15956202
15939,,10025057
15940,,10025057
15941,,10025057
15942,,10025057
15944,,1378881
15945,,1378881
15946,,3026167
15947,,8736685
15950,,23231661
15953,,27856071
15958,,5957052
15960,1290620,
15963,,13302841
15964,,29800137
15965,,2956101
15966,,13344064
15967,,13344064
15971,,9800263
15976,,10585664
15977,,8643849
15979,,24875686
15983,,11760982
16005,90013097,
16006,90013097,
16007,,10558900
16008,90013097,
16019,,28419502
16024,,12132896
16029,90013029,
16030,90013097,
16031,90013029,
16032,90013029,
16033,90013031,
16034,90013097,
16035,1045111,
16036,1045111,
16037,1045111,
16038,35228911,
16039,35228911,
16040,35228911,
16041,1045111,
16042,1045111,
16043,1045111,
16044,1045111,
16045,1045111,
16046,30274401,
16047,30274401,
16048,30274401,
16049,30274401,
16050,30274401,
16051,30274401,
16052,35228911,
16053,35228911,
16054,35228911,
16055,35228911,
16056,35228911,
16057,35228911,
16071,,30329558
16072,,1257790
16077,,10620869
16078,,8541086
16080,4503691,11924900
16084,,8956308
16085,,13278151
16087,,7815824
16095,90023355,11143789
